movieId,title,genres,tag,imdbId,tmdbId,director,cast,keywords
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,pixar pixar fun,114709,862.0,johnlasseter,"['tomhanks', 'timallen', 'donrickles']","['rescue', 'friendship', 'mission', 'jealousy', 'villain', 'bullying', 'elementaryschool', 'rivalry', 'anthropomorphism', 'friends', 'computeranimation', 'buddy', 'walkietalkie', 'toycar', 'boynextdoor', 'newtoy', 'neighborhood', 'toycomestolife', 'resourcefulness', 'toy']"
2,Jumanji (1995),Adventure|Children|Fantasy,fantasy magicboardgame robinwilliams game,113497,8844.0,joejohnston,"['robinwilliams', 'kirstendunst', 'bradleypierce']","['giantinsect', 'boardgame', 'disappearance', 'jungle', 'recluse', 'stampede', 'basedonyoungadultnovel', 'mischievous', 'jumanjiuniverse']"
3,Grumpier Old Men (1995),Comedy|Romance,moldy old,113228,15602.0,howarddeutch,"['waltermatthau', 'jacklemmon', 'ann-margret']","['fishing', 'sequel', 'oldman', 'bestfriend', 'wedding', 'italianrestaurant', 'oldfriends', 'duringcreditsstinger', 'pranks']"
4,Waiting to Exhale (1995),Comedy|Drama|Romance,,114885,31357.0,forestwhitaker,"['whitneyhouston', 'angelabassett', 'lorettadevine']","['basedonnovelorbook', 'singlemother', 'divorce', 'anxious', 'friendshipbetweenwomen', 'cautionary', 'adoring', 'celebratory', 'comforting', 'africanamericanromance', 'africanamericanfriendship']"
5,Father of the Bride Part II (1995),Comedy,pregnancy remake,113041,11862.0,charlesshyer,"['stevemartin', 'dianekeaton', 'martinshort']","['daughter', 'baby', 'parentchildrelationship', 'midlifecrisis', 'pregnancy', 'confidence', 'aging', 'sequel', 'remake', 'losangeles,california', 'contraception', 'gynecologist']"
6,Heat (1995),Action|Crime|Thriller,,113277,949.0,michaelmann,"['alpacino', 'robertdeniro', 'valkilmer']","['robbery', 'chase', 'obsession', 'detective', 'heist', 'thief', 'honor', 'murder', 'betrayal', 'gang', 'losangeles,california', 'catandmouse', 'bankrobbery', 'criminalmastermind', 'cynical', 'ex-con', 'onelastjob', 'loner', 'bankjob', 'neo-noir', 'crimeepic', 'tense', 'antagonistic', 'audacious', 'bold']"
7,Sabrina (1995),Comedy|Romance,remake,114319,11860.0,sydneypollack,"['harrisonford', 'juliaormond', 'gregkinnear']","['chauffeur', 'siblingrelationship', 'paris,france', 'transformation', 'birthdayparty', 'familybusiness', 'longisland,newyork', 'playboy', 'teenagecrush', 'millionaire', 'marriageengagement', 'highsociety', 'merger', 'impossiblelove', 'familydisapproval', 'scheme', 'wealthdifferences', 'wealthyfamily', 'fatherdaughterrelationship', 'brotherbrotherrelationship', 'unlikelyromance', 'romantic']"
8,Tom and Huck (1995),Adventure|Children,,112302,45325.0,peterhewitt,"['jonathantaylorthomas', 'bradrenfro', 'ericschweig']","['basedonnovelorbook', 'mississippiriver', 'malefriendship']"
9,Sudden Death (1995),Action,,114576,9091.0,peterhyams,"['jean-claudevandamme', 'powersboothe', 'raymondj.barry']","['explosive', 'hostage', 'icehockey', 'terrorism', 'vicepresident', 'pittsburgh,pennsylvania', 'pittsburghpenguins']"
10,GoldenEye (1995),Action|Adventure|Thriller,,113189,710.0,martincampbell,"['piercebrosnan', 'seanbean', 'izabellascorupco']","['computervirus', 'cuba', 'falselyaccused', 'secretintelligenceservice', 'secretidentity', 'secretbase', 'kgb', 'satellite', 'specialcar', 'cossack', 'electromagneticpulse', 'timebomb', 'st.petersburg,russia', 'redarmy']"
11,"American President, The (1995)",Comedy|Drama|Romance,politics president,112346,9087.0,robreiner,"['michaeldouglas', 'annettebening', 'martinsheen']","['newlove', 'usapresident', 'thewhitehouse', 'classdifferences', 'widower', 'wildlifeconservation', 'lobbyist', 'romantic']"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,,112896,12110.0,melbrooks,"['leslienielsen', 'melbrooks', 'amyyasbeck']","['vampire', 'satire', 'spoof', 'dracula']"
13,Balto (1995),Adventure|Animation|Children,,112453,21032.0,simonwells,"['kevinbacon', 'bobhoskins', 'bridgetfonda']","['wolf', 'pet', 'cartoon', 'dog-sleddingrace', 'alaska', 'dog', 'goose', 'bearattack', 'dogsled', 'cartoonwolf', 'pets', 'cartoonanimal']"
14,Nixon (1995),Drama,politics president,113987,10858.0,oliverstone,"['anthonyhopkins', 'joanallen', 'powersboothe']","['usapresident', 'washingtondc,usa', 'government', 'presidentialelection', '1970s', 'watergatescandal', 'biography', 'historicalfigure', 'richardnixon', '1960s', 'ambiguous', 'disapproving', 'disdainful', 'disheartening', 'earnest', 'empathetic', 'frustrated']"
15,Cutthroat Island (1995),Action|Adventure|Romance,,112760,1408.0,rennyharlin,"['geenadavis', 'matthewmodine', 'franklangella']","['ship', 'treasure', 'exoticisland', 'island', 'map', 'scalp', 'treasuremap', 'swordfight', 'betrayal', 'pirate', 'heroine', 'swashbuckler', 'adventurer', 'pirateship', '17thcentury']"
16,Casino (1995),Crime|Drama,mafia,112641,524.0,martinscorsese,"['robertdeniro', 'sharonstone', 'joepesci']","['drugabuse', 'casino', 'basedonnovelorbook', 'poker', 'italianamerican', 'gambling', '1970s', 'fbi', 'pimp', 'greed', 'cocaine', 'overdose', 'marriage', 'carbomb', 'riseandfall', 'money', 'murder', 'organizedcrime', 'mafia', 'jewishamerican', 'lasvegas', 'desert', 'safedepositbox', '1980s', 'dramatic', 'brutalviolence', 'fbisurveillance']"
17,Sense and Sensibility (1995),Drama|Romance,janeausten,114388,4584.0,anglee,"['emmathompson', 'katewinslet', 'alanrickman']","['secretlove', 'london,england', 'countryside', 'basedonnovelorbook', 'widow', 'militaryofficer', 'servant', 'countrylife', 'pneumonia', 'inheritance', 'perioddrama', 'rainstorm', 'decorum', 'horsecarriage', 'younglove', 'dowry', 'socialclass', '19thcentury', 'penniless', 'socialelite', 'bloodletting', 'freespirited', 'sussex', '1800s', 'sisterslove', 'marryformoney', 'secretengagement', 'devonshire,england']"
18,Four Rooms (1995),Comedy,,113101,5.0,allisonanders,"['timroth', 'jenniferbeals', 'antoniobanderas']","['hotel', ""newyear'seve"", 'witch', 'bet', 'sperm', 'hotelroom', 'anthology', 'losangeles,california', 'hoodlum', 'multiplestorylines', 'womandirector']"
19,Ace Ventura: When Nature Calls (1995),Comedy,,112281,9273.0,steveoedekerk,"['jimcarrey', 'ianmcneice', 'simoncallow']","['kidnapping', 'africa', 'indigenous', 'humananimalrelationship', 'bat', 'stupidity', 'slapstickcomedy', 'animals', 'pets']"
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,,113845,11517.0,josephruben,"['wesleysnipes', 'woodyharrelson', 'jenniferlopez']","['newyorkcity', 'siblingrelationship', 'subway', 'newyorksubway', 'trainrobbery']"
21,Get Shorty (1995),Comedy|Crime|Thriller,hollywood,113161,8012.0,barrysonnenfeld,"['johntravolta', 'genehackman', 'renerusso']","['basedonnovelorbook', 'miami,florida', 'gambling', 'gangster', 'money', 'murder', 'travel', 'mobster', 'mafia', 'business', 'debt', 'hollywood', 'drugs', 'producer', 'con']"
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,serialkiller,112722,1710.0,jonamiel,"['sigourneyweaver', 'hollyhunter', 'dermotmulroney']","['policebrutality', 'psychology', 'policeoperation', 'policeprotection', 'psychologist', 'serialkiller', 'cowardliness']"
23,Assassins (1995),Action|Crime|Thriller,,112401,9691.0,richarddonner,"['sylvesterstallone', 'antoniobanderas', 'juliannemoore']","['rescue', 'centralintelligenceagency(cia)', 'hitman', 'cat', 'bank', 'mexicanstandoff', 'seattle,washington', 'missionofmurder', 'hiddencamera', 'rivalry', 'shootout', 'policechase', 'sniperrifle', 'detroit,michigan', 'silencer', 'doublecross', 'caribbeansea']"
24,Powder (1995),Drama|Sci-Fi,,114168,12665.0,victorsalva,"['marysteenburgen', 'seanpatrickflanery', 'lancehenriksen']","['teenageboy', 'heldatgunpoint', 'teacherstudentrelationship', 'albino', 'fainting', 'christallegory', 'psionicpower', 'healingpower', 'flickeringlight', 'extrasensoryperception', 'pale']"
25,Leaving Las Vegas (1995),Drama|Romance,alcoholism,113627,451.0,mikefiggis,"['nicolascage', 'elisabethshue', 'juliansands']","['hotelroom', 'dyinganddeath', 'individual', 'prostitute', 'lovesickness', 'rageandhate', 'casino', 'unsociability', 'alcohol', 'loveatfirstsight', 'moviebusiness', 'screenwriter', 'alcoholism', 'losangeles,california', 'lasvegas', 'alcoholabuse', 'dramatic', 'depressing', 'tragic']"
26,Othello (1995),Drama,shakespeare,114057,16420.0,oliverparker,"['laurencefishburne', 'irènejacob', 'kennethbranagh']","['jealousy', 'basedonplayormusical', 'friends', ""shakespeare'sothello"", 'themoors(people)', 'shakespeare']"
27,Now and Then (1995),Children|Drama,,114011,9263.0,leslilinkaglatter,"['christinaricci', ""rosieo'donnell"", 'thorabirch']","['1970s', 'femalefriendship', 'comingofage', 'gynecologist', 'photocopier', 'truthordare', 'womandirector']"
28,Persuasion (1995),Drama|Romance,innetflixqueue janeausten,114117,17015.0,rogermichell,"['amandaroot', 'ciaránhinds', 'susanfleetwood']","['captain', 'basedonnovelorbook', 'napoleonicwars', 'oldflame', 'admiral']"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,kidnapping,112682,902.0,marccaro,"['ronperlman', 'dominiquepinon', 'judithvittet']","['rescue', 'friendship', 'island', 'dreams', 'clone', 'dystopia', 'eye', 'aging', 'steampunk', 'childhood', 'childkidnapping', 'flea']"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,,115012,37557.0,zhangyimou,"['gongli', 'libaotian', 'sunchun']","['shanghai,china', 'chinesemafia', 'comingofage', 'mistress', 'criminalunderworld', 'druglord', 'triad', 'modernchina', 'nightclubsinger', '1930s', 'cabaretsinger', 'chinesetriad']"
